codigo_ibge;nome;latitude;longitude;capital;codigo_uf;siafi_id;ddd;fuso_horario
3500105;Adamantina;-21.682;-51.0737;0;35;6101;18;America/Sao_Paulo
3500204;Adolfo;-21.2325;-49.6451;0;35;6103;17;America/Sao_Paulo
3500303;Aguaí;-22.0572;-46.9735;0;35;6105;19;America/Sao_Paulo
3500402;Águas da Prata;-21.9319;-46.7176;0;35;6107;19;America/Sao_Paulo
3500501;Águas de Lindóia;-22.4733;-46.6314;0;35;6109;19;America/Sao_Paulo
3500550;Águas de Santa Bárbara;-22.8812;-49.2421;0;35;7019;14;America/Sao_Paulo
3500600;Águas de São Pedro;-22.5977;-47.8734;0;35;6111;19;America/Sao_Paulo
3500709;Agudos;-22.4694;-48.9863;0;35;6113;14;America/Sao_Paulo
3500758;Alambari;-23.5503;-47.898;0;35;2995;15;America/Sao_Paulo
3500808;Alfredo Marcondes;-21.9527;-51.414;0;35;6115;18;America/Sao_Paulo
3500907;Altair;-20.5242;-49.0571;0;35;6117;17;America/Sao_Paulo
3501004;Altinópolis;-21.0214;-47.3712;0;35;6119;16;America/Sao_Paulo
3501103;Alto Alegre;-21.5811;-50.168;0;35;6121;18;America/Sao_Paulo
3501152;Alumínio;-23.5306;-47.2546;0;35;3065;11;America/Sao_Paulo
3501202;Álvares Florence;-20.3203;-49.9141;0;35;6123;17;America/Sao_Paulo
3501301;Álvares Machado;-22.0764;-51.4722;0;35;6125;18;America/Sao_Paulo
3501400;Álvaro de Carvalho;-22.0841;-49.719;0;35;6127;14;America/Sao_Paulo
3501509;Alvinlândia;-22.4435;-49.7623;0;35;6129;14;America/Sao_Paulo
3501608;Americana;-22.7374;-47.3331;0;35;6131;19;America/Sao_Paulo
3501707;Américo Brasiliense;-21.7288;-48.1147;0;35;6133;16;America/Sao_Paulo
3501806;Américo de Campos;-20.2985;-49.7359;0;35;6135;17;America/Sao_Paulo
3501905;Amparo;-22.7088;-46.772;0;35;6137;19;America/Sao_Paulo
3502002;Analândia;-22.1289;-47.6619;0;35;6139;19;America/Sao_Paulo
3502101;Andradina;-20.8948;-51.3786;0;35;6141;18;America/Sao_Paulo
3502200;Angatuba;-23.4917;-48.4139;0;35;6143;15;America/Sao_Paulo
3502309;Anhembi;-22.793;-48.1336;0;35;6145;14;America/Sao_Paulo
3502408;Anhumas;-22.2934;-51.3895;0;35;6147;18;America/Sao_Paulo
3502507;Aparecida;-22.8495;-45.2325;0;35;6149;12;America/Sao_Paulo
3502606;Aparecida d'Oeste;-20.4487;-50.8835;0;35;6151;17;America/Sao_Paulo
3502705;Apiaí;-24.5108;-48.8443;0;35;6153;15;America/Sao_Paulo
3502754;Araçariguama;-23.4366;-47.0608;0;35;3067;11;America/Sao_Paulo
3502804;Araçatuba;-21.2076;-50.4401;0;35;6155;18;America/Sao_Paulo
3502903;Araçoiaba da Serra;-23.5029;-47.6166;0;35;6157;15;America/Sao_Paulo
3503000;Aramina;-20.0882;-47.7873;0;35;6159;16;America/Sao_Paulo
3503109;Arandu;-23.1386;-49.0487;0;35;6161;14;America/Sao_Paulo
3503158;Arapeí;-22.6717;-44.4441;0;35;2991;12;America/Sao_Paulo
3503208;Araraquara;-21.7845;-48.178;0;35;6163;16;America/Sao_Paulo
3503307;Araras;-22.3572;-47.3842;0;35;6165;19;America/Sao_Paulo
3503356;Arco-Íris;-21.7728;-50.466;0;35;790;14;America/Sao_Paulo
3503406;Arealva;-22.031;-48.9135;0;35;6167;14;America/Sao_Paulo
3503505;Areias;-22.5786;-44.6992;0;35;6169;12;America/Sao_Paulo
3503604;Areiópolis;-22.6672;-48.6681;0;35;6171;14;America/Sao_Paulo
3503703;Ariranha;-21.1872;-48.7904;0;35;6173;17;America/Sao_Paulo
3503802;Artur Nogueira;-22.5727;-47.1727;0;35;6175;19;America/Sao_Paulo
3503901;Arujá;-23.3965;-46.32;0;35;6177;11;America/Sao_Paulo
3503950;Aspásia;-20.16;-50.728;0;35;2981;17;America/Sao_Paulo
3504008;Assis;-22.66;-50.4183;0;35;6179;18;America/Sao_Paulo
3504107;Atibaia;-23.1171;-46.5563;0;35;6181;11;America/Sao_Paulo
3504206;Auriflama;-20.6836;-50.5572;0;35;6183;17;America/Sao_Paulo
3504305;Avaí;-22.1514;-49.3356;0;35;6185;14;America/Sao_Paulo
3504404;Avanhandava;-21.4584;-49.9509;0;35;6187;18;America/Sao_Paulo
3504503;Avaré;-23.1067;-48.9251;0;35;6189;14;America/Sao_Paulo
3504602;Bady Bassitt;-20.9197;-49.4385;0;35;6191;17;America/Sao_Paulo
3504701;Balbinos;-21.8963;-49.3619;0;35;6193;14;America/Sao_Paulo
3504800;Bálsamo;-20.7348;-49.5865;0;35;6195;17;America/Sao_Paulo
3504909;Bananal;-22.6819;-44.3281;0;35;6197;12;America/Sao_Paulo
3505005;Barão de Antonina;-23.6284;-49.5634;0;35;6201;15;America/Sao_Paulo
3505104;Barbosa;-21.2657;-49.9518;0;35;6199;18;America/Sao_Paulo
3505203;Bariri;-22.073;-48.7438;0;35;6203;14;America/Sao_Paulo
3505302;Barra Bonita;-22.4909;-48.5583;0;35;6205;14;America/Sao_Paulo
3505351;Barra do Chapéu;-24.4722;-49.0238;0;35;2997;15;America/Sao_Paulo
3505401;Barra do Turvo;-24.759;-48.5013;0;35;6207;15;America/Sao_Paulo
3505500;Barretos;-20.5531;-48.5698;0;35;6209;17;America/Sao_Paulo
3505609;Barrinha;-21.1864;-48.1636;0;35;6211;16;America/Sao_Paulo
3505708;Barueri;-23.5057;-46.879;0;35;6213;11;America/Sao_Paulo
3505807;Bastos;-21.921;-50.7357;0;35;6215;14;America/Sao_Paulo
3505906;Batatais;-20.8929;-47.5921;0;35;6217;16;America/Sao_Paulo
3506003;Bauru;-22.3246;-49.0871;0;35;6219;14;America/Sao_Paulo
3506102;Bebedouro;-20.9491;-48.4791;0;35;6221;17;America/Sao_Paulo
3506201;Bento de Abreu;-21.2686;-50.814;0;35;6223;18;America/Sao_Paulo
3506300;Bernardino de Campos;-23.0164;-49.4679;0;35;6225;14;America/Sao_Paulo
3506359;Bertioga;-23.8486;-46.1396;0;35;2965;13;America/Sao_Paulo
3506409;Bilac;-21.404;-50.4746;0;35;6227;18;America/Sao_Paulo
3506508;Birigui;-21.291;-50.3432;0;35;6229;18;America/Sao_Paulo
3506607;Biritiba-Mirim;-23.5698;-46.0407;0;35;6231;11;America/Sao_Paulo
3506706;Boa Esperança do Sul;-21.9918;-48.3906;0;35;6233;16;America/Sao_Paulo
3506805;Bocaina;-22.1365;-48.523;0;35;6235;14;America/Sao_Paulo
3506904;Bofete;-23.1055;-48.2582;0;35;6237;14;America/Sao_Paulo
3507001;Boituva;-23.2855;-47.6786;0;35;6239;15;America/Sao_Paulo
3507100;Bom Jesus dos Perdões;-23.1356;-46.4675;0;35;6241;11;America/Sao_Paulo
3507159;Bom Sucesso de Itararé;-24.3155;-49.1451;0;35;3059;15;America/Sao_Paulo
3507209;Borá;-22.2696;-50.5409;0;35;6243;18;America/Sao_Paulo
3507308;Boracéia;-22.1926;-48.7808;0;35;6245;14;America/Sao_Paulo
3507407;Borborema;-21.6214;-49.0741;0;35;6247;16;America/Sao_Paulo
3507456;Borebi;-22.5728;-48.9707;0;35;7247;14;America/Sao_Paulo
3507506;Botucatu;-22.8837;-48.4437;0;35;6249;14;America/Sao_Paulo
3507605;Bragança Paulista;-22.9527;-46.5419;0;35;6251;11;America/Sao_Paulo
3507704;Braúna;-21.499;-50.3175;0;35;6255;18;America/Sao_Paulo
3507753;Brejo Alegre;-21.1651;-50.1861;0;35;792;18;America/Sao_Paulo
3507803;Brodowski;-20.9845;-47.6572;0;35;6257;16;America/Sao_Paulo
3507902;Brotas;-22.2795;-48.1251;0;35;6259;14;America/Sao_Paulo
3508009;Buri;-23.7977;-48.5958;0;35;6261;15;America/Sao_Paulo
3508108;Buritama;-21.0661;-50.1475;0;35;6263;18;America/Sao_Paulo
3508207;Buritizal;-20.1911;-47.7096;0;35;6265;16;America/Sao_Paulo
3508306;Cabrália Paulista;-22.4576;-49.3393;0;35;6267;14;America/Sao_Paulo
3508405;Cabreúva;-23.3053;-47.1362;0;35;6269;11;America/Sao_Paulo
3508504;Caçapava;-23.0992;-45.7076;0;35;6271;12;America/Sao_Paulo
3508603;Cachoeira Paulista;-22.6665;-45.0154;0;35;6273;12;America/Sao_Paulo
3508702;Caconde;-21.528;-46.6437;0;35;6275;19;America/Sao_Paulo
3508801;Cafelândia;-21.8031;-49.6092;0;35;6277;14;America/Sao_Paulo
3508900;Caiabu;-22.0127;-51.2394;0;35;6279;18;America/Sao_Paulo
3509007;Caieiras;-23.3607;-46.7397;0;35;6281;11;America/Sao_Paulo
3509106;Caiuá;-21.8322;-51.9969;0;35;6283;18;America/Sao_Paulo
3509205;Cajamar;-23.355;-46.8781;0;35;6285;11;America/Sao_Paulo
3509254;Cajati;-24.7324;-48.1223;0;35;2967;13;America/Sao_Paulo
3509304;Cajobi;-20.8773;-48.8063;0;35;6287;17;America/Sao_Paulo
3509403;Cajuru;-21.2749;-47.303;0;35;6289;16;America/Sao_Paulo
3509452;Campina do Monte Alegre;-23.5895;-48.4758;0;35;2999;15;America/Sao_Paulo
3509502;Campinas;-22.9053;-47.0659;0;35;6291;19;America/Sao_Paulo
3509601;Campo Limpo Paulista;-23.2078;-46.7889;0;35;6293;11;America/Sao_Paulo
3509700;Campos do Jordão;-22.7296;-45.5833;0;35;6295;12;America/Sao_Paulo
3509809;Campos Novos Paulista;-22.602;-49.9987;0;35;6297;14;America/Sao_Paulo
3509908;Cananéia;-25.0144;-47.9341;0;35;6299;13;America/Sao_Paulo
3509957;Canas;-22.7003;-45.0521;0;35;794;12;America/Sao_Paulo
3510005;Cândido Mota;-22.7471;-50.3873;0;35;6301;18;America/Sao_Paulo
3510104;Cândido Rodrigues;-21.3275;-48.6327;0;35;6303;16;America/Sao_Paulo
3510153;Canitar;-23.004;-49.7839;0;35;2947;14;America/Sao_Paulo
3510203;Capão Bonito;-24.0113;-48.3482;0;35;6305;15;America/Sao_Paulo
3510302;Capela do Alto;-23.4685;-47.7388;0;35;6307;15;America/Sao_Paulo
3510401;Capivari;-22.9951;-47.5071;0;35;6309;19;America/Sao_Paulo
3510500;Caraguatatuba;-23.6125;-45.4125;0;35;6311;12;America/Sao_Paulo
3510609;Carapicuíba;-23.5235;-46.8407;0;35;6313;11;America/Sao_Paulo
3510708;Cardoso;-20.08;-49.9183;0;35;6315;17;America/Sao_Paulo
3510807;Casa Branca;-21.7708;-47.0852;0;35;6317;19;America/Sao_Paulo
3510906;Cássia dos Coqueiros;-21.2801;-47.1643;0;35;6319;16;America/Sao_Paulo
3511003;Castilho;-20.8689;-51.4884;0;35;6321;18;America/Sao_Paulo
3511102;Catanduva;-21.1314;-48.977;0;35;6323;17;America/Sao_Paulo
3511201;Catiguá;-21.0519;-49.0616;0;35;6325;17;America/Sao_Paulo
3511300;Cedral;-20.9009;-49.2664;0;35;6327;17;America/Sao_Paulo
3511409;Cerqueira César;-23.038;-49.1655;0;35;6329;14;America/Sao_Paulo
3511508;Cerquilho;-23.1665;-47.7459;0;35;6331;15;America/Sao_Paulo
3511607;Cesário Lange;-23.226;-47.9545;0;35;6333;15;America/Sao_Paulo
3511706;Charqueada;-22.5096;-47.7755;0;35;6335;19;America/Sao_Paulo
3557204;Chavantes;-23.0366;-49.7096;0;35;6337;14;America/Sao_Paulo
3511904;Clementina;-21.5604;-50.4525;0;35;6339;18;America/Sao_Paulo
3512001;Colina;-20.7114;-48.5387;0;35;6341;17;America/Sao_Paulo
3512100;Colômbia;-20.1768;-48.6865;0;35;6343;17;America/Sao_Paulo
3512209;Conchal;-22.3375;-47.1729;0;35;6345;19;America/Sao_Paulo
3512308;Conchas;-23.0154;-48.0134;0;35;6347;14;America/Sao_Paulo
3512407;Cordeirópolis;-22.4778;-47.4519;0;35;6349;19;America/Sao_Paulo
3512506;Coroados;-21.3521;-50.2859;0;35;6351;18;America/Sao_Paulo
3512605;Coronel Macedo;-23.6261;-49.31;0;35;6353;14;America/Sao_Paulo
3512704;Corumbataí;-22.2213;-47.6215;0;35;6355;19;America/Sao_Paulo
3512803;Cosmópolis;-22.6419;-47.1926;0;35;6357;19;America/Sao_Paulo
3512902;Cosmorama;-20.4755;-49.7827;0;35;6359;17;America/Sao_Paulo
3513009;Cotia;-23.6022;-46.919;0;35;6361;11;America/Sao_Paulo
3513108;Cravinhos;-21.338;-47.7324;0;35;6363;16;America/Sao_Paulo
3513207;Cristais Paulista;-20.4036;-47.4209;0;35;6365;16;America/Sao_Paulo
3513306;Cruzália;-22.7373;-50.7909;0;35;6367;18;America/Sao_Paulo
3513405;Cruzeiro;-22.5728;-44.969;0;35;6369;12;America/Sao_Paulo
3513504;Cubatão;-23.8911;-46.424;0;35;6371;13;America/Sao_Paulo
3513603;Cunha;-23.0731;-44.9576;0;35;6373;12;America/Sao_Paulo
3513702;Descalvado;-21.9002;-47.6181;0;35;6375;19;America/Sao_Paulo
3513801;Diadema;-23.6813;-46.6205;0;35;6377;11;America/Sao_Paulo
3513850;Dirce Reis;-20.4642;-50.6073;0;35;7249;17;America/Sao_Paulo
3513900;Divinolândia;-21.6637;-46.7361;0;35;6379;19;America/Sao_Paulo
3514007;Dobrada;-21.5155;-48.3935;0;35;6381;16;America/Sao_Paulo
3514106;Dois Córregos;-22.3673;-48.3819;0;35;6383;14;America/Sao_Paulo
3514205;Dolcinópolis;-20.124;-50.5149;0;35;6385;17;America/Sao_Paulo
3514304;Dourado;-22.1044;-48.3178;0;35;6387;16;America/Sao_Paulo
3514403;Dracena;-21.4843;-51.535;0;35;6389;18;America/Sao_Paulo
3514502;Duartina;-22.4146;-49.4084;0;35;6391;14;America/Sao_Paulo
3514601;Dumont;-21.2324;-47.9756;0;35;6393;16;America/Sao_Paulo
3514700;Echaporã;-22.4326;-50.2038;0;35;6395;18;America/Sao_Paulo
3514809;Eldorado;-24.5281;-48.1141;0;35;6397;13;America/Sao_Paulo
3514908;Elias Fausto;-23.0428;-47.3682;0;35;6399;19;America/Sao_Paulo
3514924;Elisiário;-21.1678;-49.1146;0;35;2975;17;America/Sao_Paulo
3514957;Embaúba;-20.9796;-48.8325;0;35;7251;17;America/Sao_Paulo
3515004;Embu das Artes;-23.6437;-46.8579;0;35;6401;11;America/Sao_Paulo
3515103;Embu-Guaçu;-23.8297;-46.8136;0;35;6403;11;America/Sao_Paulo
3515129;Emilianópolis;-21.8314;-51.4832;0;35;2961;18;America/Sao_Paulo
3515152;Engenheiro Coelho;-22.4836;-47.211;0;35;2949;19;America/Sao_Paulo
3515186;Espírito Santo do Pinhal;-22.1909;-46.7477;0;35;6865;19;America/Sao_Paulo
3515194;Espírito Santo do Turvo;-22.6925;-49.4341;0;35;7253;14;America/Sao_Paulo
3557303;Estiva Gerbi;-22.2713;-46.9481;0;35;2959;19;America/Sao_Paulo
3515202;Estrela d'Oeste;-20.2875;-50.4049;0;35;6405;17;America/Sao_Paulo
3515301;Estrela do Norte;-22.4859;-51.6632;0;35;6407;18;America/Sao_Paulo
3515350;Euclides da Cunha Paulista;-22.5545;-52.5928;0;35;7255;18;America/Sao_Paulo
3515400;Fartura;-23.3916;-49.5124;0;35;6409;14;America/Sao_Paulo
3515608;Fernando Prestes;-21.2661;-48.6874;0;35;6413;16;America/Sao_Paulo
3515509;Fernandópolis;-20.2806;-50.2471;0;35;6411;17;America/Sao_Paulo
3515657;Fernão;-22.3607;-49.5187;0;35;796;14;America/Sao_Paulo
3515707;Ferraz de Vasconcelos;-23.5411;-46.371;0;35;6415;11;America/Sao_Paulo
3515806;Flora Rica;-21.6727;-51.3821;0;35;6417;18;America/Sao_Paulo
3515905;Floreal;-20.6752;-50.1513;0;35;6419;17;America/Sao_Paulo
3516002;Flórida Paulista;-21.6127;-51.1724;0;35;6421;18;America/Sao_Paulo
3516101;Florínia;-22.868;-50.6814;0;35;6423;18;America/Sao_Paulo
3516200;Franca;-20.5352;-47.4039;0;35;6425;16;America/Sao_Paulo
3516309;Francisco Morato;-23.2792;-46.7448;0;35;6427;11;America/Sao_Paulo
3516408;Franco da Rocha;-23.3229;-46.729;0;35;6429;11;America/Sao_Paulo
3516507;Gabriel Monteiro;-21.5294;-50.5573;0;35;6431;18;America/Sao_Paulo
3516606;Gália;-22.2918;-49.5504;0;35;6433;14;America/Sao_Paulo
3516705;Garça;-22.2125;-49.6546;0;35;6435;14;America/Sao_Paulo
3516804;Gastão Vidigal;-20.7948;-50.1912;0;35;6437;17;America/Sao_Paulo
3516853;Gavião Peixoto;-21.8367;-48.4957;0;35;798;16;America/Sao_Paulo
3516903;General Salgado;-20.6485;-50.364;0;35;6439;17;America/Sao_Paulo
3517000;Getulina;-21.7961;-49.9312;0;35;6441;14;America/Sao_Paulo
3517109;Glicério;-21.3812;-50.2123;0;35;6443;18;America/Sao_Paulo
3517208;Guaiçara;-21.6195;-49.8013;0;35;6445;14;America/Sao_Paulo
3517307;Guaimbê;-21.9091;-49.8986;0;35;6447;14;America/Sao_Paulo
3517406;Guaíra;-20.3196;-48.312;0;35;6449;17;America/Sao_Paulo
3517505;Guapiaçu;-20.7959;-49.2172;0;35;6451;17;America/Sao_Paulo
3517604;Guapiara;-24.1892;-48.5295;0;35;6453;15;America/Sao_Paulo
3517703;Guará;-20.4302;-47.8236;0;35;6455;16;America/Sao_Paulo
3517802;Guaraçaí;-21.0292;-51.2119;0;35;6457;18;America/Sao_Paulo
3517901;Guaraci;-20.4977;-48.9391;0;35;6459;17;America/Sao_Paulo
3518008;Guarani d'Oeste;-20.0746;-50.3411;0;35;6461;17;America/Sao_Paulo
3518107;Guarantã;-21.8942;-49.5914;0;35;6463;14;America/Sao_Paulo
3518206;Guararapes;-21.2544;-50.6453;0;35;6465;18;America/Sao_Paulo
3518305;Guararema;-23.4112;-46.0369;0;35;6467;11;America/Sao_Paulo
3518404;Guaratinguetá;-22.8075;-45.1938;0;35;6469;12;America/Sao_Paulo
3518503;Guareí;-23.3714;-48.1837;0;35;6471;15;America/Sao_Paulo
3518602;Guariba;-21.3594;-48.2316;0;35;6473;16;America/Sao_Paulo
3518701;Guarujá;-23.9888;-46.258;0;35;6475;13;America/Sao_Paulo
3518800;Guarulhos;-23.4538;-46.5333;0;35;6477;11;America/Sao_Paulo
